TradeID,EntryTime,OptionType,Delta,ShortStrike,LongStrike,Width,Premium,ProfitTarget,ProfitDateTime,ProfitPrice,StopLossDateTime,StopLossTarget,StopLossPrice,IsWin,Outcome,ProfitLoss,ProfitLossAfterSlippage,CommissionFees,Slippage,LossMultiple,TradesToday,VIX,OpenDate,OpenTime,CloseDate,CloseTime
1328218,1/3/2022 9:45:00 AM,P,0.00,4770.00,4715.00,55.00,2.50,P100,,,1/3/2022 9:48:00 AM,1.5x,6.25,False,Stop Loss,-3.75,-4.00,6.4,0.25,1.6,25,17.75,2022-01-03,09:45:00,2022-01-03,09:48:00
1328494,1/3/2022 10:00:00 AM,C,0.00,4795.00,4840.00,45.00,1.70,P100,,,1/3/2022 10:30:00 AM,1.5x,4.25,False,Stop Loss,-2.55,-2.80,6.4,0.25,1.6,25,17.75,2022-01-03,10:00:00,2022-01-03,10:30:00
1329090,1/3/2022 10:15:00 AM,P,0.00,4755.00,4705.00,50.00,2.00,P100,,,,1.5x,,True,Expiration,2.00,1.95,3.2,0.05,0,0,17.75,2022-01-03,10:15:00,,
1329462,1/3/2022 10:30:00 AM,P,0.00,4765.00,4710.00,55.00,2.35,P100,,,1/3/2022 11:35:00 AM,1.5x,5.87,False,Stop Loss,-3.52,-3.77,6.4,0.25,1.6,0,17.75,2022-01-03,10:30:00,2022-01-03,11:35:00
1329698,1/3/2022 10:45:00 AM,C,0.00,4795.00,4840.00,45.00,1.80,P100,,,1/3/2022 2:45:00 PM,1.5x,4.50,False,Stop Loss,-2.70,-2.95,6.4,0.25,1.6,0,17.75,2022-01-03,10:45:00,2022-01-03,14:45:00
1330142,1/3/2022 11:00:00 AM,P,0.00,4765.00,4715.00,50.00,2.50,P100,,,1/3/2022 11:35:00 AM,1.5x,6.25,False,Stop Loss,-3.75,-4.00,6.4,0.25,1.6,0,17.75,2022-01-03,11:00:00,2022-01-03,11:35:00
1330362,1/3/2022 11:15:00 AM,C,0.00,4790.00,4835.00,45.00,1.55,P100,,,1/3/2022 2:08:00 PM,1.5x,3.87,False,Stop Loss,-2.32,-2.57,6.4,0.25,1.7,0,17.75,2022-01-03,11:15:00,2022-01-03,14:08:00
1330718,1/3/2022 11:30:00 AM,C,0.00,4790.00,4835.00,45.00,1.65,P100,,,1/3/2022 2:09:00 PM,1.5x,4.12,False,Stop Loss,-2.47,-2.72,6.4,0.25,1.6,0,17.75,2022-01-03,11:30:00,2022-01-03,14:09:00
1331090,1/3/2022 11:45:00 AM,C,0.00,4785.00,4830.00,45.00,2.45,P100,,,1/3/2022 2:08:00 PM,1.5x,6.12,False,Stop Loss,-3.67,-3.92,6.4,0.25,1.6,0,17.75,2022-01-03,11:45:00,2022-01-03,14:08:00
1331514,1/3/2022 12:00:00 PM,P,0.00,4755.00,4700.00,55.00,1.75,P100,,,,1.5x,,True,Expiration,1.75,1.70,3.2,0.05,0,0,17.75,2022-01-03,12:00:00,,
1331798,1/3/2022 12:15:00 PM,P,0.00,4760.00,4715.00,45.00,1.80,P100,,,,1.5x,,True,Expiration,1.80,1.75,3.2,0.05,0,0,17.75,2022-01-03,12:15:00,,
1332090,1/3/2022 12:30:00 PM,P,0.00,4765.00,4715.00,50.00,2.00,P100,,,,1.5x,,True,Expiration,2.00,1.95,3.2,0.05,0,0,17.75,2022-01-03,12:30:00,,
1332366,1/3/2022 12:45:00 PM,P,0.00,4765.00,4710.00,55.00,2.50,P100,,,,1.5x,,True,Expiration,2.50,2.45,3.2,0.05,0,0,17.75,2022-01-03,12:45:00,,
1332542,1/3/2022 1:00:00 PM,C,0.00,4785.00,4830.00,45.00,1.75,P100,,,1/3/2022 1:54:00 PM,1.5x,4.37,False,Stop Loss,-2.62,-2.87,6.4,0.25,1.6,0,17.75,2022-01-03,13:00:00,2022-01-03,13:54:00
1332890,1/3/2022 1:15:00 PM,P,0.00,4770.00,4725.00,45.00,2.50,P100,,,,1.5x,,True,Expiration,2.50,2.45,3.2,0.05,0,0,17.75,2022-01-03,13:15:00,,
1333174,1/3/2022 1:30:00 PM,P,0.00,4770.00,4725.00,45.00,2.05,P100,,,,1.5x,,True,Expiration,2.05,2.00,3.2,0.05,0,0,17.75,2022-01-03,13:30:00,,
1333410,1/3/2022 1:45:00 PM,P,0.00,4775.00,4730.00,45.00,2.25,P100,,,,1.5x,,True,Expiration,2.25,2.20,3.2,0.05,0,0,17.75,2022-01-03,13:45:00,,
1333674,1/3/2022 2:00:00 PM,P,0.00,4775.00,4725.00,50.00,1.45,P100,,,,1.5x,,True,Expiration,1.45,1.40,3.2,0.05,0,0,17.75,2022-01-03,14:00:00,,
1333874,1/3/2022 2:15:00 PM,P,0.00,4780.00,4735.00,45.00,2.25,P100,,,,1.5x,,True,Expiration,2.25,2.20,3.2,0.05,0,0,17.75,2022-01-03,14:15:00,,
1334106,1/3/2022 2:30:00 PM,P,0.00,4780.00,4735.00,45.00,1.85,P100,,,,1.5x,,True,Expiration,1.85,1.80,3.2,0.05,0,0,17.75,2022-01-03,14:30:00,,
1334346,1/3/2022 2:45:00 PM,P,0.00,4785.00,4740.00,45.00,1.45,P100,,,,1.5x,,True,Expiration,1.45,1.40,3.2,0.05,0,0,17.75,2022-01-03,14:45:00,,
1334538,1/3/2022 3:00:00 PM,P,0.00,4785.00,4740.00,45.00,1.95,P100,,,,1.5x,,True,Expiration,1.95,1.90,3.2,0.05,0,0,17.75,2022-01-03,15:00:00,,
1334718,1/3/2022 3:15:00 PM,P,0.00,4785.00,4740.00,45.00,1.20,P100,,,,1.5x,,True,Expiration,1.20,1.15,3.2,0.05,0,0,17.75,2022-01-03,15:15:00,,
1334886,1/3/2022 3:30:00 PM,P,0.00,4790.00,4745.00,45.00,2.25,P100,,,1/3/2022 3:43:00 PM,1.5x,5.62,False,Stop Loss,-3.37,-3.62,6.4,0.25,1.6,0,17.75,2022-01-03,15:30:00,2022-01-03,15:43:00
1334982,1/3/2022 3:45:00 PM,C,0.00,4790.00,4835.00,45.00,1.70,P100,,,1/3/2022 3:48:00 PM,1.5x,4.25,False,Stop Loss,-2.55,-2.80,6.4,0.25,1.6,0,17.75,2022-01-03,15:45:00,2022-01-03,15:48:00
1335194,1/5/2022 9:33:00 AM,C,0.00,4810.00,4855.00,45.00,2.15,P100,,,,1.5x,,True,Expiration,2.15,2.10,3.2,0.05,0,26,17.17,2022-01-05,09:33:00,,
1335662,1/5/2022 9:45:00 AM,C,0.00,4810.00,4855.00,45.00,2.00,P100,,,,1.5x,,True,Expiration,2.00,1.95,3.2,0.05,0,0,17.17,2022-01-05,09:45:00,,
1336210,1/5/2022 10:00:00 AM,P,0.00,4765.00,4715.00,50.00,2.30,P100,,,1/5/2022 1:11:00 PM,1.5x,5.75,False,Stop Loss,-3.45,-3.70,6.4,0.25,1.6,26,17.17,2022-01-05,10:00:00,2022-01-05,13:11:00
1336474,1/5/2022 10:15:00 AM,C,0.00,4805.00,4850.00,45.00,2.50,P100,,,,1.5x,,True,Expiration,2.50,2.45,3.2,0.05,0,0,17.17,2022-01-05,10:15:00,,
1337014,1/5/2022 10:30:00 AM,P,0.00,4770.00,4720.00,50.00,2.20,P100,,,1/5/2022 1:00:00 PM,1.5x,5.50,False,Stop Loss,-3.30,-3.55,6.4,0.25,1.6,0,17.17,2022-01-05,10:30:00,2022-01-05,13:00:00
1337262,1/5/2022 10:45:00 AM,C,0.00,4810.00,4855.00,45.00,1.55,P100,,,,1.5x,,True,Expiration,1.55,1.50,3.2,0.05,0,0,17.17,2022-01-05,10:45:00,,
1337790,1/5/2022 11:00:00 AM,P,0.00,4770.00,4720.00,50.00,2.30,P100,,,1/5/2022 1:08:00 PM,1.5x,5.75,False,Stop Loss,-3.45,-3.70,6.4,0.25,1.6,0,17.17,2022-01-05,11:00:00,2022-01-05,13:08:00
1338034,1/5/2022 11:15:00 AM,C,0.00,4805.00,4850.00,45.00,1.70,P100,,,,1.5x,,True,Expiration,1.70,1.65,3.2,0.05,0,0,17.17,2022-01-05,11:15:00,,
1338522,1/5/2022 11:30:00 AM,P,0.00,4770.00,4720.00,50.00,2.40,P100,,,1/5/2022 1:09:00 PM,1.5x,6.00,False,Stop Loss,-3.60,-3.85,6.4,0.25,1.6,0,17.17,2022-01-05,11:30:00,2022-01-05,13:09:00
1338750,1/5/2022 11:45:00 AM,C,0.00,4800.00,4845.00,45.00,1.70,P100,,,,1.5x,,True,Expiration,1.70,1.65,3.2,0.05,0,0,17.17,2022-01-05,11:45:00,,
1339122,1/5/2022 12:00:00 PM,C,0.00,4800.00,4845.00,45.00,1.70,P100,,,,1.5x,,True,Expiration,1.70,1.65,3.2,0.05,0,0,17.17,2022-01-05,12:00:00,,
1339586,1/5/2022 12:15:00 PM,P,0.00,4770.00,4720.00,50.00,2.35,P100,,,1/5/2022 1:08:00 PM,1.5x,5.87,False,Stop Loss,-3.52,-3.77,6.4,0.25,1.6,0,17.17,2022-01-05,12:15:00,2022-01-05,13:08:00
1339950,1/5/2022 12:30:00 PM,P,0.00,4770.00,4720.00,50.00,1.95,P100,,,1/5/2022 12:49:00 PM,1.5x,4.87,False,Stop Loss,-2.92,-3.17,6.4,0.25,1.6,0,17.17,2022-01-05,12:30:00,2022-01-05,12:49:00
1340170,1/5/2022 12:45:00 PM,C,0.00,4795.00,4840.00,45.00,2.15,P100,,,,1.5x,,True,Expiration,2.15,2.10,3.2,0.05,0,0,17.17,2022-01-05,12:45:00,,
1340518,1/5/2022 1:00:00 PM,C,0.00,4795.00,4840.00,45.00,1.80,P100,,,,1.5x,,True,Expiration,1.80,1.75,3.2,0.05,0,0,17.17,2022-01-05,13:00:00,,
1340906,1/5/2022 1:15:00 PM,C,0.00,4790.00,4835.00,45.00,2.40,P100,,,,1.5x,,True,Expiration,2.40,2.35,3.2,0.05,0,0,17.17,2022-01-05,13:15:00,,
1341290,1/5/2022 1:30:00 PM,C,0.00,4795.00,4840.00,45.00,1.75,P100,,,,1.5x,,True,Expiration,1.75,1.70,3.2,0.05,0,0,17.17,2022-01-05,13:30:00,,
1341794,1/5/2022 1:45:00 PM,P,0.00,4755.00,4705.00,50.00,2.10,P100,,,1/5/2022 2:11:00 PM,1.5x,5.25,False,Stop Loss,-3.15,-3.40,6.4,0.25,1.6,0,17.17,2022-01-05,13:45:00,2022-01-05,14:11:00
1342018,1/5/2022 2:00:00 PM,C,0.00,4795.00,4840.00,45.00,1.75,P100,,,,1.5x,,True,Expiration,1.75,1.70,3.2,0.05,0,0,17.17,2022-01-05,14:00:00,,
1342414,1/5/2022 2:15:00 PM,C,0.00,4775.00,4830.00,55.00,2.10,P100,,,,1.5x,,True,Expiration,2.10,2.05,3.2,0.05,0,0,17.17,2022-01-05,14:15:00,,
1342766,1/5/2022 2:30:00 PM,C,0.00,4765.00,4810.00,45.00,2.40,P100,,,,1.5x,,True,Expiration,2.40,2.35,3.2,0.05,0,0,17.17,2022-01-05,14:30:00,,
1343090,1/5/2022 2:45:00 PM,C,0.00,4750.00,4795.00,45.00,1.85,P100,,,,1.5x,,True,Expiration,1.85,1.80,3.2,0.05,0,0,17.17,2022-01-05,14:45:00,,
1343450,1/5/2022 3:00:00 PM,C,0.00,4750.00,4805.00,55.00,1.60,P100,,,,1.5x,,True,Expiration,1.60,1.55,3.2,0.05,0,0,17.17,2022-01-05,15:00:00,,
1343746,1/5/2022 3:15:00 PM,C,0.00,4740.00,4785.00,45.00,1.60,P100,,,,1.5x,,True,Expiration,1.60,1.55,3.2,0.05,0,0,17.17,2022-01-05,15:15:00,,
1344058,1/5/2022 3:30:00 PM,C,0.00,4730.00,4775.00,45.00,2.15,P100,,,,1.5x,,True,Expiration,2.15,2.10,3.2,0.05,0,0,17.17,2022-01-05,15:30:00,,
1344270,1/5/2022 3:45:00 PM,C,0.00,4730.00,4775.00,45.00,1.30,P100,,,,1.5x,,True,Expiration,1.30,1.25,3.2,0.05,0,0,17.17,2022-01-05,15:45:00,,
1344626,1/7/2022 9:33:00 AM,C,0.00,4725.00,4780.00,55.00,2.20,P100,,,,1.5x,,True,Expiration,2.20,2.15,3.2,0.05,0,26,19.79,2022-01-07,09:33:00,,
